,Table name,Variable name,Label,Description,Data type,Length,Clinical relevance for PrEP
0,SA151,SA151_SATZART,Satzart,konstant 151,numerisch,3,
1,SA151,SA151_AUSGLEICHSJAHR,Ausgleichsjahr,"JJJJ Jahr, für das der Morbi-RSA berechnet wird",numerisch,4,
2,SA151,SA151_BERICHTSJAHR,Berichtsjahr,"JJJJ Jahr, in dem die Daten erhoben wurden",numerisch,4,
3,SA151,SA151_VSID,Einjähriges Pseudonym,Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.,numerisch,9,
4,SA151,SA151_PSID,Überjähriges Pseudonym,Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).,VarBinary(32); alt: CHAR(19),32,
5,SA151,SA151_KV_NR_KENNZEICHEN,Krankenversicherungsnummer (KV),bundeseinheitliche KV Nummer lag vor= 1 | sonst = 0,numerisch,1,
6,SA151,SA151_GEBURTSJAHR,Geburtsjahr,Geburtsjahr des Versicherten JJJJ,numerisch,4,
7,SA151,SA151_GESCHLECHT,Geschlecht,,numerisch,1,
8,SA151,SA151_VERSICHERTENTAGE,Versichertentage,Versichertentage des Versicherten im Berichtsjahr gemäß § 30 Abs. 1 Nr. 1 RSAV,numerisch,3,
9,SA151,SA151_VERSTORBEN,Vitalstatus,Versicherter ist im Berichtsjahr verstorben 0 = sonst,numerisch,1,
10,SA151,SA151_VERSICHERTENTAGEKG,Versichertentage mit Krankengeld,Versichertentage mit allgemeinem Anspruch auf Krankengeld gemäß § 30 Abs. 1 Nr. 11 RSAV (s. Erläuterungen),numerisch,3,
12,SA152,SA152_SATZART,Satzart,konstant 152,numerisch,3,
13,SA152,SA152_AUSGLEICHSJAHR,Ausgleichsjahr,JJJJ,numerisch,4,
14,SA152,SA152_BERICHTSJAHR,Berichtsjahr,JJJJ,numerisch,4,
