Datenmodell,Tabellenname,Datenfeldname,Datenfeldbezeichnung,PUF Methode,Pool,PUF_2 Methode
DM3,VERS,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Pool,VSID,Swapping
DM3,VERS,BNR,Betriebsnummer,Pool,BNR,Swapping
DM3,VERS,PSID,Periodenübergreifendes Pseudonym,Pool,VSID,Swapping
DM3,VERSQ,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Pool,VSID,Swapping
DM3,VERSQ,PSID,Periodenübergreifendes Pseudonym,Pool,PSID,Swapping
DM3,VERSQ,BNR,Betriebsnummer,Pool,BNR,Swapping
DM3,VERSQDMP,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Pool,VSID,Swapping
DM3,VERSQDMP,PSID,Periodenübergreifendes Pseudonym,Pool,PSID,Swapping
DM3,AMBFALL,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Pool,VSID,Swapping
DM3,AMBFALL,PSID,Periodenübergreifendes Pseudonym,Pool,PSID,Swapping
DM3,AMBFALL,FALLIDAMB,Fall-ID des ambulanten Arztfalls,Pool,FALLIDAMB,Swapping
DM3,AMBFALL,SVNR,Vertragsnummer des Selektivvertrags,Pool,SVNR,Swapping
DM3,AMBFALL,BSNRPSEUDO,Pseudonym der Betriebsstätte des behandelnden Arztes,Pool,BSNRPSEUDO,Swapping
DM3,AMBFALL,BSNRUEBPSEUDO,Pseudonym der Betriebsstätte des überweisenden Arztes,Pool,BSNRPSEUDO,Swapping
DM3,AMBFALL,LANRUEBPSEUDO,Pseudonym des überweisenden Arztes,Pool,LANR,Swapping
DM3,AMBDIAG,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Pool,VSID,Swapping
DM3,AMBDIAG,PSID,Periodenübergreifendes Pseudonym,Pool,PSID,Swapping
DM3,AMBDIAG,FALLIDAMB,Fall-ID des ambulanten Arztfalls,Pool,FALLIDAMB,Swapping
DM3,AMBLEIST,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Pool,VSID,Swapping
DM3,AMBLEIST,PSID,Periodenübergreifendes Pseudonym,Pool,PSID,Swapping
DM3,AMBLEIST,FALLIDAMB,Fall-ID des ambulanten Arztfalls,Pool,FALLIDAMB,Swapping
DM3,AMBLEIST,NBSNRPSEUDO,Pseudonym der Nebenbetriebsstätte des behandelnden Arztes,Pool,BSNRPSEUDO,Swapping
DM3,AMBLEIST,LANRPSEUDO,Pseudonym des behandelnden Arztes,Pool,LANR,Swapping
DM3,AMBLEIST,TSVGBSNRPSEUDO,(N)BSNR des Facharztes bei TSVG-Hausarztvermittlung,Pool,BSNRPSEUDO,Swapping
DM3,AMBOPS,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Pool,VSID,Swapping
DM3,AMBOPS,PSID,Periodenübergreifendes Pseudonym,Pool,PSID,Swapping
