VSID,PSID,REZNR,PZNEZD,ZAEHLER,EINHEIT,FAKTOR,FAKTORKENNZEICHEN,BJAHR,DATENMODELL,BNR
2618311,41C4B3CCBCDF98720F2F,746716861,74710584,,St,1,XX,2020,3,PPEEW8DK
4062053,FE74337C3C8D9973F9EE,243716058,74942482,,St,1,XX,2021,3,VGYX6SSM
5185438,FA15F065599709E0E285,912209686,77611484,,St,1,XX,2021,3,R118OI8O
2930784,49E01BFF4CD13C5CCB4C,278261793,32338989,,St,1,XX,2023,3,8DP47S4A
9779214,6D77FB4D357F5341CCB3,340401515,79704345,,mg,1,XX,2019,3,AB2PZD66
6340211,37CD804B5A3E7128CFBE,128414261,74771085,,St,4,XX,2022,3,YAD39PIW
6997036,8C4656500F895232E850,118868694,34678950,,St,2,XX,2022,3,0WJYT9Z8
3815881,9E74BCB0C63CCD869C36,901828210,73551415,,St,2,XX,2023,3,G6GLG4G2
6188632,D48D2799404B6122A5A4,261358739,78876114,,St,1,XX,2020,3,0UG18BU4
7996557,D70B1D4EC4FC8DE08237,326355239,39401630,,St,1,XX,2022,3,BUC47HOR
8972112,DE37E10D80C59E64948B,584533457,38272044,,mg,3,XX,2023,3,P6WGQGG1
6997036,8C4656500F895232E850,945344513,76884961,,mg,2,XX,2022,3,0WJYT9Z8
8775998,A3282B6E3F184A1A5BAD,231284670,31789664,,g,2,XX,2022,3,0VM8LDCD
7658640,BFBC88BED5B52BFE40DD,656584735,32739756,,St,1,XX,2020,3,I8XI0TCC
9724395,573640E173461D354C3C,728453532,35476817,,mg,4,XX,2019,3,YH7CQDEU
9789333,D9BC0FD09653F37DFAF7,672394653,73254636,,St,1,XX,2022,3,VCLIW6WO
5635610,E1A6A458FCCFBF5D16EF,981167788,79540980,,St,1,XX,2019,3,AP83O1QB
6960667,95F4EC768CCBF6B4F116,383088869,35224132,,St,2,XX,2019,3,TGIV3TW8
9643478,7E4C67734E8765DED793,926068464,72332766,,St,2,XX,2020,3,QZPFPVA7
1465651,F62E1934A35A7AD445DB,609174138,36253522,,St,3,XX,2022,3,U0BV50J9
2024208,5A26BCFAC659A6540E3B,978430255,78228476,,mg,2,XX,2023,3,6C4DDXLK
4332148,78CA71F9A5D9E1CDB8F6,156431269,38344401,,St,1,XX,2022,3,QFZ12JY0
9218080,DFB6298B0FEC411552AF,991741748,74408127,,St,2,XX,2022,3,M0JEOSLP
9685366,5482780134D7B30282CA,757474225,78391752,,St,2,XX,2023,3,41AQN400
2024208,5A26BCFAC659A6540E3B,978430255,38605823,,mg,2,XX,2023,3,6C4DDXLK
2486394,87CF21211B295E59E3BB,397277669,73888846,,St,3,XX,2020,3,7HBLA8JR
2027074,215909E836B35680FDD0,283199451,71785111,,St,1,XX,2022,3,LA2PUZD7
1099685,8E25DCB76E44D4524148,452338101,75583917,,mg,4,XX,2021,3,7L0UJI6T
3294954,58560349F473F7C9E68E,626091644,79075086,,St,2,XX,2021,3,1QZTIGCC
6683102,E0500D2EA4D9CE8E9A08,222871529,76467371,,mg,2,XX,2021,3,RHL1HK2S
4486620,86AA2AF0DE94D6D886B7,635637407,78686477,,mg,2,XX,2023,3,P2RTUTHM
5002086,579F9DF5DE1EAAAC3EC6,899259599,34539803,,St,2,XX,2023,3,FHLV8GHL
3121883,AC5E01535133E44A4ABD,720072959,76775080,,mg,2,XX,2022,3,1XHBLIEW
2726680,51D3EBF72551DB32632B,260723736,36816223,,mg,2,XX,2019,3,O9HX4OPX
2057184,D4CDCDB234028AA84D92,874062425,34538505,,mc,1,XX,2022,3,59RX89R4
3055806,D70126E9F51A9474965A,774671821,38554928,,St,1,XX,2022,3,6RNKX329
4263899,280C861CDC9EC2D85630,657528358,79805292,,mg,1,XX,2021,3,B0XL4266
